game_link,name,price of game,developer of game,genres of games,features of game,publisher of game,date release,recommended_os,cpu,memory,gpu_x,storage,Critics Recommend,OpenCritic Rating,platform,Top Critic Average
Pumpkin Jack₹707,Pumpkin Jack,₹707,Nicolas Meyssonnier,ActionAdventureer,,Headup GmbH,10/23/20,Windows 10,"Intel Core i5-4690 3.5 GHz, AMD Ryzen 3 1300X 3.5 GHz",6 GB RAM,"NVIDIA GeForce GTX 760, Radeon R9 270",5 GB available space,58%,Fair,PlatformWindowsWindows,74
Rising Storm 2: Vietnam₹595,Rising Storm 2: Vietnam,₹595,Antimatter Games,ActionStrategy,Multiplayer,Tripwire Interactive,10/08/20,"Windows 7 SP1, Windows 8.1, Windows 10 (64 -bit versions only)",Intel Core i5 @ 3.2GHz or AMD @ 4.0GHz or better,6 GB RAM,NVIDIA GeForce GTX 460 or ATI Radeon HD 5850,60 GB available space,76%,Strong,Windows,79
RUINER₹521,RUINER,₹521,Reikon Games,ActionShooterAdventure,Single Player,Devolver Digital,09/26/17,Windows 7/8.1/10 x64,Intel Core i5-4670K (4 * 3400) or equivalent / AMD FX-6350 (6 * 3900) or equivalent,6 GB RAM,GeForce GTX 660 (2048 MB) / Radeon HD 7970 (3072 MB),GeForce GTX 460 (1024 MB) / Radeon HD 6850 (1024 MB),64%,Strong,PlatformWindowsWindows,77
"Sherlock Holmes: Crimes and Punishments₹1,499",Sherlock Holmes: Crimes and Punishments,"₹1,499",Frogwares,Adventure,,Frogwares,04/02/20,WINDOWS 7,Intel Core 2 Quad Q6600 2.4GHz / AMD APU A6-3600 Quad-Core,6 GB RAM,256 MB 100% DIRECTX 9 COMPATIBLE AMD RADEON HD 3850/NVIDIA GEFORCE 8600 GTS OR HIGHER,14 GB available space,53%,Strong,PlatformWindowsWindows,76
Niche - a genetics survival game₹499,Niche - a genetics survival game,₹499,Stray Fawn Studio,SimulationSurvivalStrategy,Single Player,Stray Fawn Studio,09/15/21,Windows® 10,2 GHz Quad Core,6 GB RAM,Graphics card with DX10 (shader model 4.0) capabilities,2.5 GB available space,,,Windows,
"OCTOPATH TRAVELER™₹4,250",OCTOPATH TRAVELER™,"₹4,250","Square Enix, ACQUIRE Corp.",RPG,Single PlayerController Support,Square Enix,03/25/21,Windows® 7 SP1 / 8.1 / 10 64-bit,Intel® Core™ i5-6400 / AMD Ryzen™ 3 1200,6 GB RAM,30+ FPS @ 1280x720 / graphics preset “LOW”,5 GB,86%,Mighty,PlatformWindowsWindows,84
Golazo₹209,Golazo,₹209,Purple Tree,Sports,Co-opSingle PlayerController Support,Purple Tree,03/31/21,8.1,3.1 GHz Dual-Core - Intel i3 2100,6 GB RAM,"1GB VRAM, DirectX® 9.0c Compatible - Intel HD 4400 / NVIDIA GeForce 9600GT / AMD Radeon HD 3850",1 GB,,,PlatformWindowsWindows,
Windbound₹529,Windbound,₹529,5 Lives Studios,ActionIndieRPGSurvivalAction-AdventureAdventure,Single Player,Deep Silver,08/28/20,Windows 10/7/8/8.1/Vista (64 bit),2.66GHz Intel Core i7,6 GB RAM,"Intel HD Graphics 5200, NVIDIA GeForce GTX 750, Radeon HD 7800",4 GB available space,29%,Weak,PlatformWindowsWindows,65
"Might and Magic: Heroes VII - Ultimate Edition₹2,249",Might & Magic Heroes VII Ultimate Edition,"₹2,249",Limbic Entertainment,Turn-BasedStrategy,,Ubisoft,08/25/20,Windows 7 SP1 or Windows 8/8.1 (64bit only),Intel Core i5 2400 @ 3.1 GHz or AMD FX-6100 @ 3.3 GHz,6 GB RAM,nVidia GeForce GTX670 or AMD Radeon HD7870 (2048 MB VRAM),"Might and Magic: Heroes VII - Ultimate EditionThis Ultimate Edition will allow you to master the whole Heroes VII universe, with dozens of gameplay hours and maps, hundreds of heroes.MIGHT & MAGIC HEROES VIISet in a high fantasy universe with RPG progression and strong story narrative, you will embark in a journey you will never forget:Explore and conquer the enchanted world of AshanDevelop and manage your economyLead armies of legendary creatures to battleBuild up Heroes of Might & Magic with hundreds of abilities and powerful artifactsLOST TALES OF AXEOTHThe following extensions bring the players in new worlds with new factions, powers and stories.
In The Lost Tales of Axeoth you can discover Iranese, one of the continents of Axeoth, where the campaigns of Heroes IV took place.TRIAL BY FIREFive years after the epic events of Might & Magic Heroes VII, you will lead the new Fortress faction to define the destiny of the Dwarves and shed light on some of the darkest chapters of their history.Set in a fantasy universe with RPG progression and a strong story narrative, Trial by Fire is an ideal way for newcomers and existing fans to enjoy the authentic Might & Magic Heroes experience and many new features:
Master the Rune Magic: Lead the new Fortress faction on a path to define the destiny of the Dwarves
New characters: Take control of a full new lineup of charismatic heroes and iconic creatures such as Fire Giants, Valkyrie and Red Dragons",11%,Weak,Windows,62
World War Z Aftermath₹939,World War Z: Aftermath,₹939,Saber Interactive,ActionSurvivalShooter,Controller SupportCo-opMultiplayerSingle Player,Saber Interactive Inc.,09/21/21,AMD Ryzen 5 2400G / Intel Core i7-3970 @ 3.50GHz,16 GB,"64 bit Windows 10, DX11",Radeon R9 280 / GeForce GTX 960,Radeon HD 5870 / GF650Ti / Intel 630,49%,Fair,PlatformWindowsWindows,71
Tom Clancy's Splinter Cell₹249,Tom Clancy's Splinter Cell,₹249,Ubisoft,ActionStealth,,Ubisoft,03/11/21,Windows® 2000/XP,Pentium® III or AMD Athlon™ 800 MHz,64 MB 3D video card,1.5 GB,256 MB or above,,,Windows,
Orwell's Animal Farm₹349,Orwell's Animal Farm,₹349,Nerial,Narration,Single Player,Dairymen,12/10/20,Windows 10,2.7Ghz,6Gb,Intel HD Graphics,2Gb,27%,Weak,PlatformWindowsWindowsMac OSMac OS,63
ZOMBI₹999,ZOMBI,₹999,Ubisoft Montpellier,Horror,,Ubisoft,10/13/20,"Windows 7 SP1, Windows 8.1 (64bit versions only)",Intel Core i3 2105 @ 3.1 GHz or AMD Phenom II X4 955 @ 3.2 GHz,6GB,nVidia GeForce GTX 660 or AMD Radeon HD7850 or better (2048MB VRAM),nVidia GeForce GTS 450 or AMD Radeon HD5770 (1024MB VRAM),24%,Fair,Windows,67
Alex Kidd in Miracle World DX₹730,Alex Kidd in Miracle World DX,₹730,Jankenteam,ActionAdventureer,Single PlayerController Support,Merge Games,06/22/21,Windows 10,Intel Core i7,6gb,,Privacy Policy,29%,Weak,PlatformWindowsWindows,64
Blade Strangers₹469,Blade Strangers,₹469,"Studio Saizensen Co., Ltd",ActionFighting,MultiplayerSingle Player,"Nicalis, Inc.",10/06/21,Windows 10 x64,Intel Core Duo 2.0 Ghz or faster,6GB,OpenGL 3.1 compliant video card,2GB Space Available,40%,Fair,Windows,72
Yoku's Island Express₹529,Yoku's Island Express,₹529,Villa Gorilla,Action-AdventureAdventureIndie,Single Player,Team17,09/02/21,Windows 10 64-bit,Intel i3-3220 @ 3GHz / AMD A10-5700 @ 3.4GHz,6GB RAM,,3GB,91%,Strong,Windows,83
Yooka-Laylee and the Impossible Lair₹670,Yooka-Laylee and the Impossible Lair,₹670,Playtonic Games Ltd.,Adventureer,Single PlayerController Support,Team17 Digital Ltd,04/11/17,Windows 10 64-bit,Intel Core i5-2550 or AMD FX-8120,7 GB RAM,GeForce GTX 660 or Radeon R9 270,GeForce GTX 650 or Radeon HD 5770,84%,Strong,PlatformWindowsWindows,83
Curse of the Dead Gods₹799,Curse of the Dead Gods,₹799,Passtech Games,ActionAction-AdventureRogue-LiteAdventure,Controller SupportSingle Player,Focus Entertainment,02/23/21,Windows 7/8/10 (64 bits),Intel Core i7-3820 (3.6 GHz)/AMD FX-8350 (4.0 GHz),8 GB,,2 GB,88%,Strong,PlatformWindowsWindows,81
Dream Engines: Nomad Cities₹699,Dream Engines: Nomad Cities,₹699,Suncrash,SurvivalCity Builder,Single Player,Suncrash,07/14/21,Windows 10,3.5 Ghz Quad Core CPU,8 GB,GTX 660 or better,4 GB,,,PlatformWindowsWindows,
Monster Jam Steel Titans 2₹909,Monster Jam Steel Titans 2,₹909,Rainbow Studios,ActionRacing,,THQ Nordic,03/02/21,Windows 10 64-bit,AMD / Intel Dual Core with 3.0 GHz,8 GB,Geforce GTX 460 or Radeon HD 7770 with 2 GB of VRAM,20 GB,11%,Weak,PlatformWindowsWindows,60
"Darksiders Genesis₹1,159",Darksiders Genesis,"₹1,159",Airship Syndicate,ActionAction-AdventureAdventure,Co-opMultiplayerSingle Player,THQ Nordic,07/16/21,"Windows 7, 8, Windows 10 (64 bit)",Intel Core i7-3930K (3.2 GHz)/AMD Ryzen 5 1600 (3.2 GHz) or better,8 GB,NVIDIA GeForce GTX 960,15 GB,74%,Strong,Windows,78
Trüberbrook₹349,Trüberbrook,₹349,btf,AdventureIndie,Single Player,Headup,11/03/21,Windows 7 / 8 / 8.1 / 10,i3 5th generation (or newer) / i5 3rd generation (or newer) / FX4170 (or newer),8 GB,Intel HD 4000 / AMD Radeon 5800 series / nvidia 550Ti,7 GB,36%,Weak,Windows,65
"Warhammer 40,000: Battlesector₹968","Warhammer 40,000: Battlesector",₹968,Black Lab Games,ActionStrategy,Single Player,Slitherine Ltd.,07/22/21,64-bit Windows 10,i5-6400 (or equivalent),8 GB,Geforce GTX 750 (2GB VRAM),20 GB,,,PlatformWindowsWindows,
Inertial Drift₹469,Inertial Drift,₹469,Level 91 Entertainment,RacingIndie,Single Player,PQube,10/05/21,64 bit Windows 10,Intel Core i5-4460 3.2 GHz / AMD Ryzen 5 1600X 3.6GHz,8 GB,,4 GB,86%,Strong,Windows,81
SpellForce 3: Versus EditionFree,SpellForce 3: Versus Edition,Free,Grimlore Games,RPGStrategy,MultiplayerSingle Player,THQ Nordic,12/14/20,"Windows 7, 8, Windows 10 (64 bit)","Intel Core i7-4790, AMD FX-8350",8 GB,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",15 GB,46%,Fair,PlatformWindowsWindows,74
"Franchise Hockey Manager 8₹2,931.40",Franchise Hockey Manager 8,"₹2,931.40",Out of the Park Developments,SimulationStrategy,MultiplayerSingle Player,Out of the Park Developments,11/03/21,"Windows 7, Windows 8.x, Windows 10",1 GHz,8 GB,,8 GB,,,Windows,
"Mafia III: Definitive Edition₹1,699",Mafia III: Definitive Edition,"₹1,699",Hangar 13,ActionShooter,Single Player,2K,09/25/20,OS: Windows 7 64-bit,Intel CPU: I7-3770 AMD CPU: AMD FX 8350 4.0 Ghz,8 GB,,60 GB,,,PlatformWindowsWindows,
Severed Steel₹569,Severed Steel,₹569,Greylock Studio,ActionIndie,Single PlayerController Support,Digerati,09/17/21,Windows 10,Dual Core,8 GB,NVIDIA 1050 or equivalent,NVIDIA 750 or equivalent,86%,Strong,PlatformWindowsWindows,80
The Signifier: Director's Cut₹469,The Signifier: Director's Cut,₹469,Playmestudio,AdventureIndie,Single Player,Raw Fury,04/22/21,Windows 10,Intel Core i5-7600K / AMD Ryzen 5 1600X,8 GB,NVIDIA GeForce 660 / AMD R9 270,20 GB,29%,Fair,PlatformWindowsWindowsMac OSMac OS,69
Kosmokrats₹349,Kosmokrats,₹349,Pixel Delusion,PuzzleAdventureIndie,Single Player,Modern Wolf,12/18/20,Windows 10,AMD Ryzen 3 1200,8 GB,,DirectX 11,55%,Fair,Windows,73
Sockventure₹589,Sockventure,₹589,Nighthouse Games,ActionIndieAction-AdventureAdventure,Single Player,Versus Evil,05/11/21,Windows 10,Intel Core i5 or equivalent,8 GB,DirectX 11,DirectX 11,,,PlatformWindowsWindows,
Backbone₹589,Backbone,₹589,EggNut,AdventureIndie,Single Player,Raw Fury,06/08/21,Windows 7,Multi-core 2.5GHz or faster,8 GB,,1 GB,,,PlatformWindowsWindows,
Through the Woods₹565,Through the Woods,₹565,Antagonist,AdventureExplorationHorror,Single Player,1C Entertainment,10/28/21,Windows 7 / 8 / 8.1 / 10,"Intel Core i5 or equivalent CPU rated at 3,5 GHz",8 GB,GeForce GTX 980 or equivalent,10 GB,47%,Fair,Windows,68
"Cris Tales₹1,599",Cris Tales,"₹1,599","Dreams Uncorporated, SYCK",RPGTurn-BasedIndie,Single Player,Modus Games,07/20/21,OS Version: windows 10,Intel Core at 2.7Ghz or AMD equivalent,8 GB,NVIDIA GeForce GTX 650 Ti (2GB) or equivalent,6 GB,47%,Fair,PlatformWindowsWindows,74
"Remnant: From the Ashes₹1,564",Remnant: From the Ashes,"₹1,564",Gunfire Games,ActionShooter,Co-op,Perfect World Entertainment Inc.,08/13/20,Windows 7 / 8 / 10 64 bit,Intel Core i5-4590 (3.70 GHz) or better,8 GB,Nvidia GeForce GTX 970,AMD Radeon RX 470,74%,Strong,PlatformWindowsWindows,78
Rogue Lords₹899,Rogue Lords,₹899,Leikir Studio,Rogue-LiteIndie,,Nacon,09/30/21,Windows 10,Intel Core i5-3470 | AMD FX-3850,8 GB,"Nvidia GeForce GTX 650, 1GB | AMD Radeon HD 7770, 1GB",3 GB,,,PlatformWindowsWindows,
RimWorld₹819,RimWorld,₹819,Ludeon Studios,SimulationCity BuilderStrategy,Single Player,Ludeon Studios,06/09/20,Windows 10,Intel Core i7 2600k,8 GB,,,,,PlatformWindowsWindowsMac OSMac OS,
Battle Chasers: Nightwar₹999,Battle Chasers: Nightwar,₹999,Airship Syndicate,ActionIndieRPG,Single Player,THQ Nordic,03/25/21,Windows 7 / 8 / 10 64 bit,Intel i5 2.5 GHZ,8 GB,Intel HD 4000 or equivalent with 1 GB VRAM,10 GB,75%,Strong,Windows,80
The Flower Collectors₹469,The Flower Collectors,₹469,Mi'pu'mi Games,AdventureFirst PersonIndie,Single Player,Mi'pu'mi Games,12/18/20,64-bit processor and operating system: Windows 10,"Intel Core i5 2.67GHz or AMD A6-3670K 2,7 GH",8 GB,NVIDIA GeForce GTX 460 2GB RAM,1 GB,,,PlatformWindowsWindows,
"Aquanox Deep Descent₹1,139",Aquanox Deep Descent,"₹1,139",Digital Arrow,ActionAction-AdventureAdventure,Co-opMultiplayerSingle Player,THQ Nordic,10/20/20,Windows 10,AMD/INTEL 3.5 GHz (AMD Ryzen 5 1500x or Intel Core i5-6600K or newer),8 GB,"Direct3D 11, Shader Model 5.1 capable video card (GeForce GTX 560 2GB RAM or Radeon HD 7870 4GB RAM)",30 GB,26%,Fair,PlatformWindowsWindows,68
The Hand of Merlin₹939,The Hand of Merlin,₹939,Room-C Games,IndieRPGRogue-LiteStrategy,,Versus Evil,05/11/21,Windows 10 Creators Update (64 bit),3.0 GHz Dual Core,8 GB,DirectX 12,DirectX 11,,,PlatformWindowsWindows,
The Big Con₹459,The Big Con,₹459,Mighty Yell,ActionComedyAdventureIndie,Single Player,Skybound Games,08/31/21,Windows 10 64-bit,Intel Core i7-3770K or AMD Ryzen 3 1200,8 GB,AMD Radeon HD 7770 or dedicated equivalent,4 GB,72%,Fair,PlatformWindowsWindows,74
Mothergunship₹939,Mothergunship,₹939,Terrible Posture Games,ActionShooter,Co-opMultiplayerSingle Player,Versus Evil,07/29/21,Windows 10 64-bit,Intel Core i5-6600K / AMD Ryzen 5 1600,8 GB,DirectX 11,DirectX 11,54%,Strong,Windows,75
Doomsday Vault₹399,Doomsday Vault,₹399,Flightless,AdventurePuzzle,Single PlayerController Support,Flightless,08/05/21,Windows 10 64bit,Intel i5 / AMD Ryzen 3.0 GHz+,8 GB,Nvidia Geforce GTX 970 / AMD Radeon RX 590,2 GB,,,PlatformWindowsWindowsMac OSMac OS,
HammerHelm₹459,HammerHelm,₹459,SuperSixStudios,ActionCity BuilderAdventure,Single PlayerController Support,SOEDESCO,10/21/21,Windows 7,Intel Core i7-4700MQ (3.20GHz),8 GB,GeForce GTX 470 / Radeon R9 M270X,2 GB available space,,,Windows,
Star Renegades₹589,Star Renegades,₹589,"Massive Damage, Inc",RPGStrategyIndie,Single PlayerController Support,Raw Fury,03/04/21,Windows® 10 64-bit,Intel® Core™ i5-6600K @ 3.5GHz / AMD Ryzen™ 3 2200G @ 3.5GHz,8 GB,NVIDIA® GeForce® GTX 750(2GB VRAM) / AMD Radeon™ Pro 460 (2GB VRAM),5 GB,74%,Strong,PlatformWindowsWindows,77
Poly Bridge 2₹372,Poly Bridge 2,₹372,Dry Cactus,Puzzle,,Dry Cactus,05/28/20,Windows 10,2 GHz,8 GB,,2 GB,57%,Fair,PlatformWindowsWindowsMac OSMac OS,71
Fisti-Fluffs₹469,Fisti-Fluffs,₹469,Playfellow Studio,CasualPartyIndie,Co-opMultiplayerSingle PlayerController Support,"Rogue Games, Inc.",09/23/21,Windows 10,Intel Core i5,8 GB,"GTX 660, R9 270",3 GB,,,PlatformWindowsWindows,
SpellForce 3: Fallen God₹809,SpellForce 3: Fallen God,₹809,Grimlore Games,RPGStrategy,Single Player,THQ Nordic,12/14/20,"Windows 7, 8, Windows 10 (64 bit)","Intel Core i7-4790, AMD FX-8350",8 GB,"NVIDIA GTX 660 2GB, AMD Radeon 7850 2GB",30 GB,,,PlatformWindowsWindows,
Tandem: A Tale of Shadows₹589,Tandem: a Tale of Shadows,₹589,Monochrome Paris,erPuzzleAction-Adventure,Single Player,Hatinh Interactive,10/21/21,Win 10 64-bit,Intel Core i5-8600K or AMD Ryzen 3 3100,8 GB,Nvidia GeForce GTX 1660 Ti or AMD Radeon RX 5600 XT,GTX 670 2GB or equivalent,,,PlatformWindowsWindows,
"Mafia II: Definitive Edition₹1,699",Mafia II: Definitive Edition,"₹1,699",d3t,ActionShooter,Single Player,2K,09/25/20,Windows 8.1 64-bit,Intel CPU: I7-3770 AMD CPU: AMD FX 8350 4.0 Ghz,8 GB,VIDEO MEMORY: 2GB,50 GB,28%,Weak,PlatformWindowsWindows,64
Unicorns on Unicycles₹309,Unicorns on Unicycles,₹309,Weyrdworks,IndieActionCasual,Single PlayerController Support,"Rogue Games, Inc.",10/20/21,Windows 10,Intel Core i5,8 GB,"R9 280, GTX 960",600 MB,,,Windows,
Expeditions: Viking₹729,Expeditions: Viking,₹729,Logic Artists,RPGStrategyIndie,,THQ Nordic,10/13/21,Windows 10,Intel Core i7 3.4GHz,8 GB,NVIDIA GeForce GTS 450,12 GB,48%,Fair,Windows,70
"Assassin's Creed® III: Remastered₹1,999",Assassin's Creed® III: Remastered,"₹1,999",Ubisoft,ActionRPG,Single PlayerController Support,Ubisoft,03/29/19,Windows 10,AMD Ryzen 5 1500X | Intel Core i7-4790,8 GB,Raedon RX Vega 56 | NVIDIA Geforce GTX 1070,"Assassin's Creed® III: RemasteredFIGHT FOR FREEDOM1775: The American Colonies are about to revolt. As Connor, a Native American Assassin, secure liberty for your people and your nation. From bustling city streets to the chaotic battlefields, assassinate your foes in a variety of deadly ways with a vast array of weaponry.A NEW VISUAL AND GAMEPLAY EXPERIENCEPlay the iconic Assassin's Creed III, with enhanced graphics, now featuring: 4K resolution, new character models, polished environment rendering and more. The gameplay mechanics have been revamped as well, improving your experience and your immersion.ADDITIONAL CONTENTAlso includes all the original solo DLC, including The Tyranny of King Washington, and the full game: Assassin's Creed Liberation Remastered.",36%,Fair,PlatformWindowsWindows,69
Solitairica₹239,Solitairica,₹239,Righteous Hammer Games,Rogue-LiteCard GameIndie,,Righteous Hammer Games,12/29/20,Windows 10 - 64 bit,"Quad-core Intel or AMD processor, 2.5 GHz or faster",8 GB,NVIDIA GeForce 470 GTX or AMD Radeon 6870 HD series,1 GB,,,PlatformWindowsWindows,
Creature in the Well₹459,Creature in the Well,₹459,Flight School Studio,ActionIndie,Single Player,MWM Interactive,03/25/21,Windows 10 (64-bit),Intel Core i5,8 GB,,10 GB available space,58%,Strong,Windows,76
Shady Part of Me₹599,Shady Part of Me,₹599,Douze Dixièmes,IndiePuzzle,Single Player,Focus Entertainment,12/11/20,Windows 10 (64-bit),AMD Athlon II X3 450 / Intel Core 2 Quad Q6600,8 GB,"1 GB VRAM, AMD Radeon HD 5670 / Nvidia GeForce GT 440 / Intel HD 5200",3 GB,79%,Strong,PlatformWindowsWindows,77
Blair Witch₹707,Blair Witch,₹707,Bloober Team,HorrorFirst Person,,Bloober Team NA,10/29/20,Windows 10,Intel Core i5-6500 (3.2 GHz) / AMD Ryzen 5 1600,8 GB,GeForce GTX 750 Ti / AMD Radeon R7 265,16 GB available space,39%,Fair,PlatformWindowsWindows,68
The Fall Part 2: Unbound₹399,The Fall Part 2: Unbound,₹399,Over The Moon,ActionPuzzleAdventure,Single PlayerController Support,Over The Moon,03/15/21,"Windows 7 SP1+, 8, 10",2.5 GHz dual core,8 GB,GeForce GTX 560 or equivalent,1.4 GB,47%,Fair,Windows,72
Cartel Tycoon₹589,Cartel Tycoon,₹589,Moon Moose,SimulationCity BuilderStrategy,Single Player,tinyBuild,03/18/21,Windows 10,i7 ~3 Ghz / Ryzen 7,8 GB,GTX 960,5 GB,,,PlatformWindowsWindows,
DEMON'S TILT₹529,DEMON'S TILT,₹529,WIZNWAR,ActionHorror,Single Player,FLARB LLC,05/10/21,Windows 10,i7,8 GB,GTX 660 or Radeon 7970,1 GB,,,Windows,
The Uncertain: Last Quiet Day₹239,The Uncertain: Last Quiet Day,₹239,New Games Order,First PersonAdventure,Controller SupportSingle Player,META Publishing,04/29/21,Windows 10,Intel i5 processor or higher / AMD Phenom II X6 or higher,8 GB,NVIDIA GTX 570 or higher,8 GB,,,Windows,
Genesis Alpha One Deluxe Edition₹670,Genesis Alpha One,₹670,Radiation Blue,First Person,Controller SupportSingle Player,Team17 Digital Ltd,03/27/20,Windows 10 64-bit,Core i5-4590 CPU @ 3.30GHz / AMD FX 8350,8 GB,GeForce GTX 970 (4 GB) / Radeon R9 390,GeForce GTX 660 / Radeon HD 7950 or Radeon R9 290,46%,Fair,PlatformWindowsWindows,70
Stubbs the Zombie in Rebel Without a Pulse₹469,Stubbs the Zombie in Rebel Without a Pulse,₹469,Aspyr,Action,Co-opSingle Player,Aspyr,10/14/21,Windows 10,"Intel Core i3-4170 @ 3.7 GHz, AMD A8-7600 @ 3.1 GHz",8 GB,,5 GB,32%,Weak,Windows,57
Bridge Constructor: The Walking Dead₹349,Bridge Constructor: The Walking Dead,₹349,ClockStone Software,SimulationPuzzleStrategy,Single Player,Headup,11/19/20,Windows 10,6 GHz,8 GB,,400 MB,,,PlatformWindowsWindowsMac OSMac OS,
The Spectrum Retreat₹309,The Spectrum Retreat,₹309,Dan Smith,PuzzleStrategyAdventure,Controller SupportSingle Player,Ripstone,07/01/21,AMD FX-8350 or Intel Core i5 or higher,8 GB RAM,8 GB available space,Version 11,Version 11,37%,Fair,Windows,70
"Riders Republic₹2,999",Riders Republic,"₹2,999",Ubisoft Annecy,ActionOpen World,MultiplayerSingle Player,Ubisoft,10/28/21,Windows 10 (64-bit versions),Intel Core i7-4790 or AMD Ryzen 5 1600,8 GB dual channel,GeForce GTX 1060 (6 GB) or AMD RX 570 (8 GB),GeForce GTX 970 (4 GB) or AMD RX 470 (4 GB),72%,Strong,PlatformWindowsWindows,78
